10.602	14.950	16.000	130.20000	0.69108
10.602	14.923	16.000	129.80000	0.69264
10.602	14.896	16.000	129.50000	0.69474
10.602	14.869	16.000	129.20000	0.69687
10.602	14.842	16.000	128.90000	0.69902
10.602	14.815	16.000	128.50000	0.70027
10.602	14.788	16.000	128.20000	0.70247
10.602	14.761	16.000	127.90000	0.70430
10.602	14.734	16.000	127.60000	0.70614
10.602	14.707	16.000	127.30000	0.70801
10.602	14.680	16.000	127.00000	0.71029
10.602	14.654	16.000	126.70000	0.71220
10.602	14.627	16.000	126.30000	0.71316
10.602	14.600	16.000	126.00000	0.71550
10.602	14.573	16.000	125.70000	0.71706
10.602	14.546	16.000	125.40000	0.71904
10.602	14.519	16.000	125.10000	0.72104
10.602	14.492	16.000	124.80000	0.72264
10.602	14.465	16.000	124.50000	0.72468
10.602	14.438	16.000	124.20000	0.72632
10.602	14.411	16.000	123.90000	0.72797
10.602	14.384	16.000	123.60000	0.72963
10.602	14.357	16.000	123.40000	0.73191
10.602	14.330	16.000	123.10000	0.73361
10.602	14.303	16.000	122.80000	0.73533
10.602	14.276	16.000	122.50000	0.73662
10.602	14.249	16.000	122.20000	0.73837
10.602	14.222	16.000	121.90000	0.74013
10.602	14.195	16.000	121.60000	0.74146
10.602	14.168	16.000	121.30000	0.74326
10.602	14.141	16.000	121.10000	0.74569
10.602	14.114	16.000	120.80000	0.74706
10.602	14.087	16.000	120.50000	0.74891
10.602	14.060	16.000	120.20000	0.75031
10.602	14.033	16.000	120.00000	0.75235
10.602	14.006	16.000	119.70000	0.75378
10.602	13.979	16.000	119.40000	0.75522
10.602	13.952	16.000	119.10000	0.75667
10.602	13.925	16.000	118.90000	0.75732
10.602	13.898	16.000	118.60000	0.75880
10.602	13.871	16.000	118.30000	0.76028
10.602	13.844	16.000	118.10000	0.76243
10.602	13.817	16.000	117.80000	0.76494
10.602	13.790	16.000	117.50000	0.76597
10.602	13.763	16.000	117.30000	0.76817
10.602	13.736	16.000	117.00000	0.76974
10.602	13.709	16.000	116.70000	0.77081
10.602	13.682	16.000	116.50000	0.77255
10.602	13.655	16.000	116.20000	0.77415
10.602	13.628	16.000	116.00000	0.77644
10.602	13.601	16.000	115.70000	0.77755
10.602	13.574	16.000	115.40000	0.77868
10.602	13.547	16.000	115.20000	0.78049
10.602	13.520	16.000	114.90000	0.78163
10.602	13.493	16.000	114.70000	0.78347
10.602	13.466	16.000	114.40000	0.78464
10.602	13.439	16.000	114.20000	0.78650
10.602	13.412	16.000	113.90000	0.78769
10.602	13.385	16.000	113.70000	0.78958
10.602	13.358	16.000	113.40000	0.79024
10.602	13.331	16.000	113.20000	0.78940
10.602	13.304	16.000	112.90000	0.79062
10.602	13.277	16.000	112.70000	0.79255
10.602	13.250	16.000	112.40000	0.79603
10.602	13.223	16.000	112.20000	0.79801
10.602	13.196	16.000	112.00000	0.79943
10.602	13.169	16.000	111.70000	0.80072
10.602	13.143	16.000	111.50000	0.80274
10.602	13.116	16.000	111.20000	0.80347
10.602	13.089	16.000	111.00000	0.80552
10.602	13.062	16.000	110.80000	0.80699
10.602	13.035	16.000	110.50000	0.80834
10.602	13.008	16.000	110.30000	0.80984
10.602	12.981	16.000	110.00000	0.81061
10.602	12.954	16.000	109.80000	0.81213
10.602	12.927	16.000	109.60000	0.81366
10.602	12.900	16.000	109.30000	0.81446
10.602	12.873	16.000	109.10000	0.81601
10.602	12.846	16.000	108.90000	0.81818
10.602	12.819	16.000	108.60000	0.81900
10.602	12.792	16.000	108.40000	0.82059
10.602	12.765	16.000	108.20000	0.82219
10.602	12.738	16.000	107.90000	0.82304
10.602	12.711	16.000	107.70000	0.82402
10.602	12.684	16.000	107.50000	0.82565
10.602	12.657	16.000	107.30000	0.82729
10.602	12.630	16.000	107.00000	0.82817
10.602	12.603	16.000	106.80000	0.82984
10.602	12.576	16.000	106.60000	0.83151
10.602	12.549	16.000	106.30000	0.83242
10.602	12.522	16.000	106.10000	0.83412
10.602	12.495	16.000	105.90000	0.83517
10.602	12.468	16.000	105.70000	0.83690
10.602	12.441	16.000	105.40000	0.83717
10.602	12.414	16.000	105.20000	0.83892
10.602	12.387	16.000	105.00000	0.84000
10.602	12.360	16.000	104.80000	0.84177
10.602	12.333	16.000	104.50000	0.84206
10.602	12.306	16.000	104.30000	0.84385
10.602	12.279	16.000	104.10000	0.84565
10.602	12.252	16.000	103.90000	0.84678
10.602	12.225	16.000	103.70000	0.84791
10.602	12.198	16.000	103.40000	0.84893
10.602	12.171	16.000	103.20000	0.85008
10.602	12.144	16.000	103.00000	0.85194
10.602	12.117	16.000	102.80000	0.85311
10.602	12.090	16.000	102.50000	0.85346
10.602	12.063	16.000	102.30000	0.85535
10.602	12.036	16.000	102.10000	0.85654
10.602	12.009	16.000	101.90000	0.85774
10.602	11.982	16.000	101.70000	0.85895
10.602	11.955	16.000	101.50000	0.86090
10.602	11.928	16.000	101.20000	0.86128
10.602	11.901	16.000	101.00000	0.86251
10.602	11.874	16.000	100.80000	0.86375
10.602	11.847	16.000	100.60000	0.86500
10.602	11.820	16.000	100.40000	0.86626
10.602	11.793	16.000	100.10000	0.86667
10.602	11.766	16.000	99.93000	0.86896
10.602	11.739	16.000	99.71000	0.87007
10.602	11.712	16.000	99.49000	0.87119
10.602	11.685	16.000	99.28000	0.87241
10.602	11.658	16.000	99.06000	0.87354
10.602	11.632	16.000	98.84000	0.87469
10.602	11.605	16.000	98.63000	0.87593
10.602	11.578	16.000	98.41000	0.87709
10.602	11.551	16.000	98.19000	0.87826
